,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
5394,Craig Archibald,1,7000000.0,7000000.0,49327405,49327405.0,49327405,49327405.0,21750530.0,21750530.0,42327405.0,42327405.0
5395,Craig Berry,1,60000000.0,60000000.0,468060692,468060692.0,468060692,468060692.0,197760692.0,197760692.0,408060692.0,408060692.0
5396,Craig Bierko,5,232000000.0,46400000.0,440841774,88168354.8,440841774,88168354.8,24518901.0,4903780.2,208841774.0,41768354.8
5397,Craig Bockhorn,1,1000000.0,1000000.0,15151744,15151744.0,15151744,15151744.0,8015303.0,8015303.0,14151744.0,14151744.0
5398,Craig Bruhnanski,1,20000000.0,20000000.0,12693645,12693645.0,12693645,12693645.0,-14821431.0,-14821431.0,-7306355.0,-7306355.0
5399,Craig Bullock,1,84000000.0,84000000.0,275650703,275650703.0,275650703,275650703.0,69294164.0,69294164.0,191650703.0,191650703.0
5400,Craig Considine,1,912531.200780188,912531.200780188,203450,203450.0,203450,203450.0,-906123.200780188,-906123.200780188,-709081.200780188,-709081.200780188
5401,Craig Conway,1,4592883.740173769,4592883.740173769,57130027,57130027.0,57130027,57130027.0,21431572.25982623,21431572.25982623,52537143.25982623,52537143.25982623
5402,Craig Coyne,1,72000000.0,72000000.0,97076152,97076152.0,97076152,97076152.0,-9341780.0,-9341780.0,25076152.0,25076152.0
5403,Craig Crosbie,1,25000000.0,25000000.0,14815898,14815898.0,14815898,14815898.0,-14886267.0,-14886267.0,-10184102.0,-10184102.0
5404,Craig Damon,1,137000000.0,137000000.0,245285165,245285165.0,245285165,245285165.0,-4822766.0,-4822766.0,108285165.0,108285165.0
5405,Craig Eldridge,3,70000000.0,23333333.333333332,115365558,38455186.0,115365558,38455186.0,3577797.0,1192599.0,45365558.0,15121852.666666666
5406,Craig Ferguson,7,804000000.0,114857142.85714285,2467280632,352468661.71428573,2467280632,352468661.71428573,146172864.0,20881837.714285713,1663280632.0,237611518.85714287
5407,Craig Gellis,1,20000000.0,20000000.0,30666930,30666930.0,30666930,30666930.0,5612520.0,5612520.0,10666930.0,10666930.0
5408,Craig Hall,4,302000000.0,75500000.0,760141693,190035423.25,760141693,190035423.25,1723404.0,430851.0,458141693.0,114535423.25
5409,Craig Horner,1,8000000.0,8000000.0,18707966,18707966.0,18707966,18707966.0,7032800.0,7032800.0,10707966.0,10707966.0
5410,Craig J. Harris,1,16000000.0,16000000.0,76514050,76514050.0,76514050,76514050.0,26670410.0,26670410.0,60514050.0,60514050.0
5411,Craig Johnson,1,20000000.0,20000000.0,5530764,5530764.0,5530764,5530764.0,-16468244.0,-16468244.0,-14469236.0,-14469236.0
5412,Craig Kellman,1,78000000.0,78000000.0,274325949,274325949.0,274325949,274325949.0,41793567.0,41793567.0,196325949.0,196325949.0
5413,Craig Kilborn,2,57000000.0,28500000.0,152098149,76049074.5,152098149,76049074.5,78428847.0,39214423.5,95098149.0,47549074.5
5414,Craig Kirkwood,1,30000000.0,30000000.0,136706683,136706683.0,136706683,136706683.0,85654751.0,85654751.0,106706683.0,106706683.0
5415,Craig March,1,120000000.0,120000000.0,353133898,353133898.0,353133898,353133898.0,24801023.0,24801023.0,233133898.0,233133898.0
5416,Craig McGinlay,1,175000000.0,175000000.0,148675066,148675066.0,148675066,148675066.0,-135824934.0,-135824934.0,-26324934.0,-26324934.0
5417,Craig McLachlan,1,80000000.0,80000000.0,10777375,10777375.0,10777375,10777375.0,-69832627.0,-69832627.0,-69222625.0,-69222625.0
5418,Craig Mutsch,1,15000000.0,15000000.0,56674477,56674477.0,56674477,56674477.0,3354356.0,3354356.0,41674477.0,41674477.0
5419,Craig Parker,1,35000000.0,35000000.0,92158961,92158961.0,92158961,92158961.0,10802315.0,10802315.0,57158961.0,57158961.0
5420,Craig Parkinson,2,19995450.0,9997725.0,10302513,5151256.5,10302513,5151256.5,-18973670.0,-9486835.0,-9692937.0,-4846468.5
5421,Craig Ricci Shaynak,1,22000000.0,22000000.0,41771168,41771168.0,41771168,41771168.0,11316821.0,11316821.0,19771168.0,19771168.0
5422,Craig Roberts,5,105541400.0,21108280.0,625289017,125057803.4,625289017,125057803.4,240945951.0,48189190.2,519747617.0,103949523.4
5423,Craig Robinson,11,546000000.0,49636363.63636363,1464995837,133181439.72727273,1464995837,133181439.72727273,102494624.0,9317693.090909092,918995837.0,83545076.0909091
5424,Craig S. Harper,1,58000000.0,58000000.0,41319039,41319039.0,41319039,41319039.0,-26626062.0,-26626062.0,-16680961.0,-16680961.0
5425,Craig Salisbury,1,195000000.0,195000000.0,197687603,197687603.0,197687603,197687603.0,-129812397.0,-129812397.0,2687603.0,2687603.0
5426,Craig Sheffer,1,15000000.0,15000000.0,5072654,5072654.0,5072654,5072654.0,-11689969.0,-11689969.0,-9927346.0,-9927346.0
5427,Craig Snoyer,1,39000000.0,39000000.0,101344412,101344412.0,101344412,101344412.0,24414846.0,24414846.0,62344412.0,62344412.0
5428,Craig Spidle,1,80000000.0,80000000.0,181001478,181001478.0,181001478,181001478.0,24454762.0,24454762.0,101001478.0,101001478.0
5429,Craig Stark,1,44000000.0,44000000.0,155762510,155762510.0,155762510,155762510.0,10117416.0,10117416.0,111762510.0,111762510.0
5430,Craig Stevenson,2,15600000.0,7800000.0,42191971,21095985.5,42191971,21095985.5,7646157.0,3823078.5,26591971.0,13295985.5
5431,Craig T. Nelson,10,534000000.0,53400000.0,2759335527,275933552.7,2759335527,275933552.7,923742614.0,92374261.4,2225335527.0,222533552.7
5432,Craig Thomas,1,32000000.0,32000000.0,147332697,147332697.0,147332697,147332697.0,22712227.0,22712227.0,115332697.0,115332697.0
5433,Craig Van Hook,1,15000000.0,15000000.0,47052899,47052899.0,47052899,47052899.0,6403519.0,6403519.0,32052899.0,32052899.0
5434,Craig Veroni,1,35000000.0,35000000.0,30526509,30526509.0,30526509,30526509.0,-12008621.0,-12008621.0,-4473491.0,-4473491.0
5435,Craig Walker,3,40800000.0,13600000.0,72739717,24246572.333333332,72739717,24246572.333333332,-9082327.0,-3027442.3333333335,31939717.0,10646572.333333334
5436,Craig Wroe,1,40000000.0,40000000.0,26620002,26620002.0,26620002,26620002.0,-31893014.0,-31893014.0,-13379998.0,-13379998.0
5437,Cramer Cain,1,30000000.0,30000000.0,108609310,108609310.0,108609310,108609310.0,-6790690.0,-6790690.0,78609310.0,78609310.0
